Object type,MENA-EDS,OPEN-PROM,Explanation,Old sets,New sets,Sector
Variable,CCO2CAPT,VCumCO2Capt,Cumulative CO2 captured (Mtn CO2),"CYall,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Parameter,CCRES,-,,"PGALL,YTIME",,
Parameter,CCRES_PRN,-,,"PGALL,YTIME",,
Variable,CCSGAMMA,VSensCcs,Variable that controlls the sensitivity of CCS acceptance,"CYall,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Variable,CEN,VEnCons,Final consumption in energy sector (Mtoe),"CYall,EFS,YTIME","allCy,EFS,YTIME",REST OF ENERGY BALANCE SECTORS
Variable,CF,VFeCons,Total final energy consumnption (Mtoe),"CYall,EF,YTIME","allCy,EF,YTIME",REST OF ENERGY BALANCE SECTORS
Variable,CFNEN,VFNonEnCons,Final non energy consumption (Mtoe),"CYall,EFS,YTIME","allCy,EFS,YTIME",REST OF ENERGY BALANCE SECTORS
Variable,CFTOT,VTotFinEneConsAll,Total final energy Consumption in ALL COUNTRIES (Mtoe) ,YTIME,YTIME,INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Parameter,CGI,iCGI,Capital Goods Index (defined as CGI(Scenario)/CGI(Baseline)),"CYall,YTIME","allCy,YTIME",Macro economic indicators
Parameter,CHPAVAIL,iAvailRateChp,Availability rate of CHP Plants (),"CYall,DSBS,CHP","allCy,DSBS,CHP",
Variable,CHPCAPAC,VElecCapChpPla,Capacity of CHP Plants (GW),"CYall,CHP,YTIME","allCy,CHP,YTIME",POWER GENERATION SECTOR
Parameter,CHPCAPCOST,iInvCostChp,Capital Cost per CHP plant type (kEuro05/KW),"CYall,DSBS,CHP,YTIME","allCy ,DSBS,CHP,YTIME",Power Generation Parameters
Variable,CHPCOST,VElecProdCostChp,Electricity production cost per CHP plant and demand sector (Euro/KWh),"CYall,DSBS,CHP,YTIME","allCy,DSBS,CHP,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Variable,CHPELCPROD,VChpElecProd,CHP electricity production (TWh),"CYALL,CHP,YTIME","allCy,CHP,YTIME",POWER GENERATION SECTOR
Parameter,CHPFIXCOST,iFixOMCostPerChp,Fixed O&M cost per CHP plant type (Euro2005/KW),"CYall,DSBS,CHP,YTIME","allCy,DSBS,CHP,YTIME",
Parameter,CHPLFT,iLifChpPla,Technical Lifetime for CHP plants (years),"CYall,DSBS,CHP","allCy,DSBS,CHP",Power Generation Parameters
Parameter,CHPPG_Cost,iDataChpPowGen,Various data related to CHP power generation (various),"EF,CHPPGSET,YTIME","EF,YTIME,CHPPGSET",common data parameters
Parameter,CHPPRICE,iFracElecPriChp,Fraction of Electricity Price at which a CHP sells electricity to network (1),"CYall,YTIME",,Parameter Prices
Parameter,CHPVARCOST,iVarCostChp,Variable (other than fuel) cost per CHP Type (Gross Euro05/KW),"CYall,DSBS,CHP,YTIME","allCy,DSBS,CHP,YTIME",Power Generation Parameters
Variable,CHPVCOST,VProCostCHPDem,Variable including fuel electricity production cost per CHP plant and demand sector (Euro/KWh),"CYall,DSBS,CHP,YTIME","allCy,DSBS,CHP,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Variable,CHPW,VSecContrTotChpProd,Contribution of each sector in total CHP production (1),"CYall,SBS,CHP,YTIME","allCy,SBS,CHP,YTIME",POWER GENERATION SECTOR
Parameter,CO2_SEQ_DATA,iCO2SeqData,Data for CO2 sequestration ,"CO2SEQELAST,YTIME","allCy,CO2SEQELAST,YTIME",Parameters for data transfering
Variable,CO2CAPT,VCO2ElcHrgProd,CO2 captured by electricity and hydrogen production plants (Mtn CO2),"CYall,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Parameter,CO2EMFAC,iCo2EmiFac,CO2 emission factors (kgCO2/kgoe fuel burned),"CYall,SBS,EF,YTIME","allCy,SBS,EF,YTIME",Emission Related Parameters
Parameter,CO2emfac_PRN,iCo2EmiFacAllSbs,CO2 emission factors (kgCO2/kgoe fuel burned),"EF,YTIME","allCy,EF",Emission Related Parameters
Variable,CO2EMISNAP,VTotGhgEmisAllCountrNap,Total CO2eq GHG emissions in all countries per NAP sector,"NAP,YTIME","NAP,YTIME",POWER GENERATION SECTOR
Variable,CO2EMISTOT,VTotCo2AllCoun,Total CO2eq GHG emissions in all countries (1),YTIME,YTIME,POWER GENERATION SECTOR
Variable,CO2SEQCOST,VCO2SeqCsts,Cost curve for CO2 sequestration costs (Euro/tn of CO2 sequestrated),"CYall,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Parameter,CO2SEQPARAM,iElastCO2Seq,Elasticities for CO2 sequestration cost curve,"CYall,CO2SEQELAST","allCy,CO2SEQELAST",Emission Related Parameters
Variable,CO2SEQW,VWghtTrnstLnrToExpo,Weight for transtition from linear CO2 sequestration cost curve to exponential,"CYALL,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Variable,CONSEF,VConsFuel,"Consumption of fuels in each demand subsector, excluding heat from heatpumps (Mtoe)","CYall,DSBS,EF,YTIME","allCy,DSBS,EF,YTIME",INDUSTRY  - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Variable,CONSEF_BAR,VFuelConsInclHP,Consumption of fuels in each demand subsector including heat from heatpumps (Mtoe),"CYall,DSBS,EF,YTIME","allCy,DSBS,EF,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Sets,CONSET,conSet,Consumer size groups related to space heating,,,
Parameter,CONSIZE,iConsSizeDistHeat,Consumer sizes for district heating (1),,,
Parameter,ConsizePRN,-,-,"CONSET,CONSIZE_set",-,
Variable,CONSS,VConsRemSubEquip,Consumption of remaining substitutable equipment (Mtoe),"CYall,DSBS,EF,YTIME","allCy,DSBS,EF,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Variable,CONTR,VConsEachTechTransp,Consumption of each technology and subsector (Mtoe),"CYall,TRANSE,TTECH,EF,TEA,YTIME","allCy,TRANSE,TTECH,EF,TEA,YTIME",TRANSPORT SECTOR VARIABLES
Variable,COSTSUCAP,VScalWeibull,Temporary variable facilitating the scaling in Weibull equation,"CYall,PGALL,HOUR,YTIME","allCy,PGALL,HOUR,YTIME",POWER GENERATION SECTOR
Variable,COSTSUCAP2,VScalWeibullSum,Sum (over hours) of temporary variable facilitating the scaling in Weibull equation (1),"CYall,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Variable,COSTTR,VTranspCostPermeanConsSize,Transportation cost per mean and consumer size (Keuro/vehicle),"CYALL,TRANSE,RCon,TTECH,TEA,YTIME","allCy,TRANSE,RCon,TTECH,TEA,YTIME",TRANSPORT SECTOR VARIABLES
Variable,COSTTR1,VTranspCostPerVeh,Transportation cost per mean and consumer size (Keuro/vehicle),"CYALL,TRANSE,RCon,TTECH,TEA,YTIME","allCy,TRANSE,RCon,TTECH,TEA,YTIME",TRANSPORT SECTOR VARIABLES
Variable,CVALL,VCarVal,Carbon value for all countries (Euro05/tn CO2),"CYALL,NAP,YTIME","allCy,NAP,YTIME",Positive Variable Main Objective
Parameter,DCEN,iTotEneBranchCons,Total Energy Branch Consumption (Mtoe),"CYall,EF,YTIME","allCy,EF,YTIME",Supply Side Specific Parameters
Parameter,DCF,iFinEneCons,Final energy consumption (Mtoe),"CYall,EF,YTIME","allCy,EFS,YTIME",Common parameters for all Demand Subsectors
Parameter,DCHPCAPAC,iHisChpGrCapData,Historical CHP  gross capacity data (GW),"CYall,CHP,YTIME","allCy,CHP,YTIME",Power Generation Parameters
Parameter,DCONSEF,iFuelConsPerFueSub,Fuel consumption per fuel and subsector (Mtoe),"CYall,SBS,EF,YTIME","allCy,SBS,EF,YTIME",Common parameters for all Demand Subsectors
Parameter,DDEMSE,iTotFinEneDemSubBaseYr,Total Final Energy Demand per subsector in Base year (Mtoe),"CYall,SBS,YTIME","allCy,SBS,YTIME",Common parameters for all Demand Subsectors
Parameter,DELCINDEX,iElecIndex,Electricity Index (1),"CYall,YTIME","allCy,YTIME",Prices
Variable,DEMCOST,VTechCostIntrm,Intermediate technology cost (Keuro/toe),"CYall,DSBS,Rcon,EF,TEA,YTIME","allCy,DSBS,rcon,EF,TEA,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Variable,DEMCOST1,VTechCost,Technology cost ( Keuro/toe),"CYall,DSBS,Rcon,EF,TEA,YTIME","allCy,DSBS,Rcon,EF,TEA,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Variable,DEMSE,VDemSub,Total final demand (of substitutable fuels) per subsector (Mtoe),"CYall,DSBS,YTIME","allCy,DSBS,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Variable,DEMSEIND,VDemInd,Total final demand (of substitutable fuels) in industrial sectors (Mtoe),"CYALL,YTIME","allCy, YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Variable,DEMTR,VDemTr,Final energy demand in transport subsectors per fuel (Mtoe),"CYall,TRANSE,EF,YTIME","allCy,TRANSE,EF,YTIME",TRANSPORT SECTOR VARIABLES
Variable,DEMTRALL,VFinEneDemTranspSub,Final energy demand in transport subsectors (Mtoe),"CYall,TRANSE,YTIME","allCy,TRANSE,YTIME",TRANSPORT SECTOR VARIABLES
Parameter,DEXPO,iFuelExprts,Fuel Exports (Mtoe),"CYall,EF,YTIME","allCy,EF,YTIME",Supply Side Specific Parameters
Parameter,DGIC,iGrosInlCons,Gross Inland Consumtpion (Mtoe),"CYall,EF,YTIME","allCy,EF,YTIME",Supply Side Specific Parameters
Parameter,DGICP,iGrossInConsNoEneBra,"Gross Inland Consumption,excluding energy branch (Mtoe)","CYall,EF,YTIME","allCy,EF,YTIME",Supply Side Specific Parameters
Parameter,DH_Eff,iParDHEfficiency,Parameter of  district heating Efficiency ,"PGEFS,YTIME","PGEFS,YTIME",parameters
Parameter,DIMPO,iFuelImports,Fuel Imports (Mtoe),"CYall,EF,YTIME","allCy,EF,YTIME",Supply Side Specific Parameters
Parameter,DISCOUNT,iDisc,Discount rates per subsector (),"CYall,SBS,YTIME","allCy,SBS,YTIME",Macroeconomic indicators
Parameter,DiscountPRN,-,-,"SBS,YTIME",-,
Parameter,DLFT,iTechLft,Technical Lifetime. For passenger cars it is a variable (1),"CYall,SBS,EF,TEA,YTIME","allCy,SBS,EF,TEA,YTIME",Common parameters for all Demand Subsectors
Parameter,DLOS,iDistrLosses,Distribution Losses (Mtoe),"CYall,EF,YTIME","allCy,EFS,YTIME",Supply Side Specific Parameters
Parameter,DMEXTV,iGdpPassCarsMarkExt,GDP-dependent passenger cars market extension (GDP/capita),CYall,allCy,Transport Sector specific Parameters
Parameter,DNETIMP,iNetImp,Net imports (Mtoe),"CYall,EFS,YTIME","(allCy,EFS,YTIME",Supply Side Specific Parameters
Parameter,Dom_FCon,iFuelConsDOMSE,Fuel consumption of domestic subsector (Mtoe),"DOMSE,EF,YTIME","allCy,DOMSE,EF,YTIME",Parameters for data transfering
Parameter,Dom_RFCon,iResFuelConsPerFuelAndSub,Residuals in fuel consumption per fuel and subsector (1),"DOMSE,EF,YTIME","allCy,DOMSE,EF,YTIME",Parameters for data transfering
Parameter,Dom_RNSE,iResNonSubElecCons,Residuals in Non Substitutable Electricity Consumption per substector,"DOMSE,YTIME","allCy,DOMSE,YTIME",Parameters for data transfering
Parameter,Dom_SCon,iInitConsSubAndInitShaNonSubElec,Initial Consumption per Subsector and Initial Shares of Non Substitutable Electricity in Total Electricity Demand (Mtoe),"DOMSE,Indu_Scon_Set","allCy,DOMSE,Indu_Scon_Set",Parameters for data transfering
Parameter,Dom_Tech,iDataDomTech,Technical lifetime of domestic sector (years),"DOMSE,EF,ECONCHAR","DOMSE,EF,ECONCHAR",common data parameters
Parameter,DompricePRN,iFuelPrice,Prices of fuels per subsector ($2015/toe),"SBS,EF,YTIME","allCy,SBS,EF,YTIME",Parameters for data transfering
Parameter,DPPROD,iFuelPriPro,Fuel Primary Production (Mtoe),"CYall,EF,YTIME","allCy,EF,YTIME",Supply Side Specific Parameters
Parameter,DREFCAP,iRefCapacity,Refineries Capacity (Million Barrels/day),"CYall,YTIME",YTIME,Supply Side Specific Parameters
Parameter,DSCR,iPassCarsScrapRate,Passenger cars scrapping rate (1),CYall,allCy,Transport Sector specific Parameters
Parameter,DSFC,iSpeFuelConsCostBy,Specific fuel consumption cost in Base year (ktoe/Gpkm or ktoe/Gtkm or ktoe/Gvkm),"CYall,SBS,TTECH,TEA,EF","allCy,SBS,TTECH,TEA,EF",Transport Sector specific Parameters
Parameter,DTIOTH,iTransfInpGasworks,"Transformation Input in Gasworks, Blast Furnances, Briquetting plants in Mtoe","CYall,EF,YTIME","allCy,EF,YTIME",Supply Side Specific Parameters
Parameter,DTIRF,iTransfInputRef,Transformation Input in Refineries (Mtoe),"CYall,EF,YTIME","allCy,EF,YTIME",Supply Side Specific Parameters
Parameter,DTOOTH,iTranfOutGasworks,"Transformation Output from Gasworks, Blast Furnances and Briquetting plants (Mtoe)","CYall,EF,YTIME","allCy,EF,YTIME",Supply Side Specific Parameters
Parameter,DTORF,iTransfOutputRef,Transformation Output from Refineries (Mtoe),"CYall,EF,YTIME","allCy,EFS,YTIME",Supply Side Specific Parameters
Variable,DUMMYOBJ,vDummyObj,Dummy maximisation variable (1),-,-,-
Parameter,EFPRICE,-,Consumer Prices of fuels per subsector (kEuro2005/toe),"CYall,SBS,EF,YTIME","allCy,SBS,EF,YTIME",Macro economic indicators
Parameter,ELASTA,iElastA,Activity Elasticities per subsector (1),"CYall,SBS,ETYPES,YTIME","allCy,SBS,ETYPES,YTIME",Common parameters for all Demand Subsectors
Parameter,ELASTGAS,iNatGasPriProElst,Natural Gas primary production elasticity related to gross inland consumption,CYall,allCy,
Parameter,ELASTNSE,iElastNonSubElec,,"CYall,SBS,ETYPES,YTIME","allCy,SBS,ETYPES,YTIME",Macro economic indicators
Parameter,ELC_IMPORTS,iElecImp,Electricity Imports (1),"CYALL,YTIME","allCy,YTIME",Reguala Falsi Parameters
Variable,ELCALL,VElecConsAll,Electricity demand per final sector (Mtoe),"CYall,DSBS,YTIME","allCy,DSBS,YTIME",POWER GENERATION SECTOR
Variable,ELCCHP_EST,VElecChpPlants,Estimate the electricity of CHP Plants,"CYall,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Variable,ELCDEMAND,VElecDem,Total electricity demand (TWh),"CYall,YTIME","allCy,YTIME",Power Generation
Variable,ELCHEATPUMP,VElecConsHeatPla,Electricity consumed in heatpump plants (Mtoe),"CYall,DSBS,YTIME","allCy, DSBS, YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Variable,ELCINDEX,VElecIndPrices,Electricity index - a function of industry price (1),"CYall,YTIME","allCy,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Variable,ELCINDEX_EST,VElecIndPricesEst,Electricity index - a function of industry price - Estimate (1),"CYALL,YTIME","allCy, YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Variable,ELCNS,VElecNonSub,Consumption of non-substituable electricity in Industry and Tertiary (Mtoe),"CYall,DSBS,YTIME","allCy,DSBS,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Variable,ELCNSIND,VElecConsInd,Total Consumption of Electricity in industrial sectors (Mtoe),"CYALL,YTIME","allCy,YTIME",INDUSTRY - DOMESTIC - NON ENERGY USES - BUNKERS VARIABLES
Variable,ELCPRICE,VElecPriInduResConsu,Electricity price to Industrial and Residential Consumers (Euro2005/KWh),"CYall,ESET,YTIME","allCy,ESET,YTIME",VARIABLES
Variable,ELCPRICE_NOCV,VElecPriIndResNoCliPol,Electricity price to Industrial and Residential Consumers (Euro2005/KWh),"CYall,ESET,YTIME","allCy,ESET,YTIME",POWER GENERATION SECTOR
Parameter,ELCPRICECHAR,iFacElecPriConsu,Factors affecting electricity prices to consumers,"CYall,ELCPCHAR,YTIME ","allCy,ELCPCHAR,YTIME",Prices
Parameter,ElcpricecharPRN,iContrElecPrice,Parameters controlling electricity price,"ELCPCHAR,YTIME","allCy,ELCPCHAR,YTIME",Parameters for data transfering
Variable,ELCPROD,VElecProd,Electricity production (TWh),"CYall,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Variable,ELCPROD,VElecProdPowGenPlants,Electricity production (TWh),"CYall,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Parameter,ELSB,iElaSub,Elasticities by subsectors (1),"CYALL,DSBS","allCy,DSBS",
Parameter,ELSH,iShareAnnMilePlugInHybrid,Share of annual mileage of a plug-in hybrid which is covered by electricity (1),"CYall,YTIME","CYall,YTIME",Transport Sector specific Parameters
Parameter,EN_PRD_INDX,REMOVED FROM OPEN-PROM,Energy productivity index used in R&D scenarios,"CYall,SBS,YTIME",,Macro economic indicators
Parameter,EN_PRD_INDX_PRN,REMOVED FROM OPEN-PROM,Supplementary parameter for energy productivity index used in R&D scenarios,"CYall,SBS,YTIME",,Parameters 
Equation,EQACTVTRG,QGoodsTranspActiv,Compute goods transport activity,"CYall,TRANSE,YTIME","allCy,TRANSE,YTIME",TRANSPORT SPECIFIC EQUATIONS
Equation,EQACTVTRP,QTrnspActiv,Compute passenger transport activity,"CYall,TRANSE,YTIME","allCy,TRANSE,YTIME",Transport
Equation,EQAFFORDABILITY,QHouseExpEne,Compute households expenditures on energy,"CYALL,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Equation,EQALPHA,QScalFacPlantDispatch,Compute the scaling factor for plant dispatching,"CYall,HOUR,YTIME","allCy,HOUR,YTIME",POWER GENERATION SECTOR
Equation,EQAVCHPCOST,QAvgElcProCostCHP,Compute Average Electricity production cost per CHP plant,"CYall,CHP,YTIME","allCy,CHP,YTIME",INDUSTRY - TERTIARY - NON ENERGY USES - BUNKERS EQUATIONS
Equation,EQAVCHPVCOST,QAvgVarElecProd,Compute Average variable including fuel electricity production cost per CHP plant ,"CYall,CHP,YTIME","allCy,CHP,YTIME",INDUSTRY - TERTIARY - NON ENERGY USES - BUNKERS EQUATIONS
Equation,EQAVERAV,QAvgCapFacRes,Compute the average capacity factor of RES,"CYALL,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Equation,EQBASEEST,QEstBaseLoad,Compute estimated base load,"CYall,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Equation,EQBASELOAD,QElecBaseLoad,Compute electricity base load,"CYall,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Equation,EQCAPACITY,QElecGenCap,Compute electricity generation capacity,"CYall,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Equation,EQcapacity2,QNewCapYearly,Compute the new capacity added every year,"CYall,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Equation,EQCAPACITYT,QElecGenCapacity,Compute electricity generation capacity,"CYall,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Equation,eqcapall,QOverallCap,Compute overall capacity,"CYall,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Equation,EQCCO2CAPT,QCumCO2Capt,Compute cumulative CO2 captured (Mtn of CO2),"CYall,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Equation,EQCCSGAMMA,QGammaInCcsDecTree,Compute gamma parameter used in CCS/No CCS decision tree,"CYall,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Equation,EQCEN,QEneBrnchEneCons,Compute energy branch final consumption,"CYall,EFS,YTIME","allCy,EFS,YTIME",REST OF ENERGY BALANCE SECTORS
Equation,EQCF,QTotFinEneCons,Compute total final energy consumption,"CYall,EFS,YTIME","allCy,EFS,YTIME",REST OF ENERGY BALANCE SECTORS
Equation,EQCFNEN,QFinNonEneCons,Compute final non-energy consumption,"CYall,EFS,YTIME","allCy,EFS,YTIME",REST OF ENERGY BALANCE SECTORS
Equation,EQCFTOT,QTotFinEneConsAll,Compute total final energy consumption,YTIME,YTIME,REST OF ENERGY BALANCE SECTORS
Equation,EQCHPCAPAC,QChpElecPlants,Compute CHP electric capacity,"CYrun,CHP,YTIME",,POWER GENERATION SECTOR
Equation,EQCHPCOST,QElecProdCosChp,Compute electricity production cost per CHP plant and demand sector in Euro per KWh,"CYall,DSBS,CHP,YTIME","allCy,DSBS,CHP,YTIME",INDUSTRY - TERTIARY - NON ENERGY USES - BUNKERS EQUATIONS
Equation,EQCHPELCPROD,QElecProdChpPlants,Compute electricity production from CHP plants ,"Cyall,CHP,YTIME","allCy,CHP,YTIME",POWER GENERATION SECTOR
Equation,EQCHPVCOST,QVarProCostPerCHPDem,Compute  variable including fuel electricity production cost per CHP plant and demand sector ,"CYall,DSBS,CHP,YTIME","allCy,DSBS,CHP,YTIME",INDUSTRY - TERTIARY - NON ENERGY USES - BUNKERS EQUATIONS
Equation,EQCHPW,QSecContrTotChpProd,Compute sector contribution to total CHP production,"CYall,SBS,CHP,YTIME","allCy,SBS,CHP,YTIME",POWER GENERATION SECTOR
Equation,EQCO2CAPT,QCO2ElcHrg,Compute CO2 captured by electricity and hydrogen production plants ,"CYall,YTIME","allCy,YTIME",CO2 SEQUESTRATION COST CURVES
Equation,EQCO2EMISNAP,QTotGhgEmisAllCountrNap,Compute total CO2eq GHG emissions in all countries per NAP sector,"NAP,YTIME","NAP,YTIME",POWER GENERATION SECTOR
Equation,EQCO2EMISTOT,QTotCo2AllCoun,Compute total CO2eq GHG emissions in all countries,YTIME,YTIME,POWER GENERATION SECTOR
Equation,EQCO2SEQCOST,QCstCO2SeqCsts,Compute cost curve for CO2 sequestration costs in Euro per tn of CO2 sequestrated,"CYall,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Equation,EQCO2SEQW,QWghtTrnstLinToExpo,Compute the transition weight from linear CO2 sequestration cost curve to exponential,"CYALL,YTIME","allCy,YTIME",POWER GENERATION SECTOR
Equation,EQCONSEF,QFuelCons,Compute fuel consumption (Mtoe),"CYall,DSBS,EF,YTIME","allCy,DSBS,EF,YTIME",INDUSTRY - TERTIARY - NON ENERGY USES - BUNKERS EQUATIONS
Equation,EQCONSEF_BAR,QFuelConsInclHP,Compute fuel consumption including heat from heatpumps,"CYall,DSBS,EF,YTIME","allCy,DSBS,EF,YTIME",INDUSTRY - TERTIARY - NON ENERGY USES - BUNKERS EQUATIONS
Equation,EQCONSS,QConsOfRemSubEquip,Compute consumption of remaining substitutble equipment,"CYall,DSBS,EF,YTIME","allCy,DSBS,EF,YTIME",INDUSTRY - TERTIARY - NON ENERGY USES - BUNKERS EQUATIONS
Equation,EQCONTR,QConsEachTechTransp,Compute consumption of each technology in transport sectors,"CYall,TRANSE,TTECH,EF,TEA,YTIME","allCy,TRANSE,TTECH,EF,TEA,YTIME",TRANSPORT SPECIFIC EQUATIONS
Equation,EQCOSTSUCAP,QScalWeibull,Compute temporary variable facilitating the scaling in Weibull equation,"CYALL,PGALL,HOUR,YTIME","allCy,PGALL,HOUR,YTIME",POWER GENERATION SECTOR
Equation,EQCOSTSUCAP2,QScalWeibullSum,Compute sum (over hours) of temporary variable facilitating the scaling in Weibull equation,"CYALL,PGALL,YTIME","allCy,PGALL,YTIME",POWER GENERATION SECTOR
Equation,EQCOSTTR,QTranspCostPerMeanConsSize,Compute transportation cost per mean and consumer size in KEuro per vehicle,"CYALL,TRANSE,RCon,TTECH,TEA,YTIME","allCy,TRANSE,RCon,TTECH,TEA,YTIME",TRANSPORT SPECIFIC EQUATIONS
Equation,EQCOSTTR1,QTranspCostPerVeh,Compute transportation cost per mean and consumer size in KEuro per vehicle,"CYALL,TRANSE,RCon,TTECH,TEA,YTIME","allCy,TRANSE,RCon,TTECH,TEA,YTIME",TRANSPORT SPECIFIC EQUATIONS
